KEY,addedDate,reviewDate,realName,verifiedPurchase,totalVotes,helpfulVotes,fullRating,rating,title,customerID,customerName,reviewID,itemID
1,"2016/06/30 00:43:30",2014/12/01,N/A,false,-1,0,5,1,"I hate being gouged, and I hate weasel word explanations even more","","",RCCP4PH9KE2UB,B00NG7JVSQ
2,"2016/06/30 00:43:30",2014/12/07,N/A,false,-1,0,5,1,"they were all there and the software easily imported my carryover records from the 2013 turbotax file","","",R3IG4DXOK3V4RG,B00NG7JVSQ
3,"2016/06/30 00:43:30",2014/12/16,N/A,false,-1,0,5,1,"Intuit kisses the corporate blarney stone again","","",R3HHDJGEWZ8QL9,B00NG7JVSQ
4,"2016/06/30 00:43:30",2014/12/28,N/A,false,-1,0,5,1,"TIME TO SWITCH!!! DON'T BUY IF YOU HAVE ANY INVESTMENTS!","","",R2HHZNE4U3J3H1,B00NG7JVSQ
5,"2016/06/30 00:43:30",2014/12/28,N/A,false,-1,0,5,1,"Farewell, TurboTax. It was great while it lasted, but it's time to move on.","","",R3PKLTHHXNM6T6,B00NG7JVSQ
6,"2016/06/30 00:43:30",2015/01/08,N/A,false,-1,0,5,1,"22 Years Down The Drain","","",R33M40TYENY1G,B00NG7JVSQ
7,"2016/06/30 00:43:30",2014/11/30,N/A,true,-1,0,5,1,"Intuit has made huge changes in 2014 to benefit themselves at the expense of loyal customers!","","",R2TPDHG1IHH9Q1,B00NG7JVSQ
8,"2016/06/30 00:43:30",2014/11/30,N/A,false,-1,0,5,1,"Look for other tax filing options this year - No Schedule D e-filing for TurboTax Deluxe","","",R6HHQY305ZLHP,B00NG7JVSQ
9,"2016/06/30 00:43:30",2014/12/16,N/A,false,-1,0,5,1,"Warn your friends and tell them to switch NOW before they are dissappointed!","","",R32HP4VBPOI7D4,B00NG7JVSQ
10,"2016/06/30 00:43:30",2014/11/28,N/A,false,-1,0,5,1,"Horrible decision by Intuit to eliminate support for Schedule D ...","","",R1GX9ZAMGWFBGV,B00NG7JVSQ
11,"2016/06/30 00:43:30",2014/11/30,N/A,false,-1,0,5,1,"I hate what Intuit has done with Turbotax","","",R1DASDCGX3WC6X,B00NG7JVSQ
